Produto / Cor;Previsão;Estoque;Pedidos;Disponível
000023 - VELUDO BOUCLE NICE - COR: 16 - CARAMELO;Pronta entrega;9.101,60;220,00;8.881,60
000023 - VELUDO BOUCLE NICE - COR: 29 - TERRA COTA;Pronta entrega;0,00;0,00;0,00
000023 - VELUDO BOUCLE NICE - COR: 29 - TERRA COTA;20/02/2026;2.195,80;1.670,00;525,80
000023 - VELUDO BOUCLE NICE - COR: 40 - CASTOR;Pronta entrega;40.738,60;3.270,00;37.468,60
000023 - VELUDO BOUCLE NICE - COR: 41 - MOKA;Pronta entrega;2.381,40;220,00;2.161,40
000023 - VELUDO BOUCLE NICE - COR: 41 - MOKA;20/02/2026;4.715,40;0,00;4.715,40
000023 - VELUDO BOUCLE NICE - COR: 49 - STEEL GREY;Pronta entrega;1.252,60;500,00;752,60
000023 - VELUDO BOUCLE NICE - COR: 49 - STEEL GREY;20/02/2026;16.455,30;120,00;16.335,30
000023 - VELUDO BOUCLE NICE - COR: 55 - VERDE OLIVA;Pronta entrega;0,00;0,00;0,00
000023 - VELUDO BOUCLE NICE - COR: 55 - VERDE OLIVA;20/02/2026;3.006,20;1.220,00;1.786,20
000023 - VELUDO BOUCLE NICE - COR: 56 - NATURAL;Pronta entrega;0,00;0,00;0,00
000023 - VELUDO BOUCLE NICE - COR: 56 - NATURAL;20/02/2026;12.320,20;12.300,00;20,20
000023 - VELUDO BOUCLE NICE - COR: 57 - MALVA;Pronta entrega;8.170,20;120,00;8.050,20
000023 - VELUDO BOUCLE NICE - COR: 58 - PRATA;Pronta entrega;0,00;0,00;0,00
000023 - VELUDO BOUCLE NICE - COR: 58 - PRATA;20/02/2026;8.924,00;420,00;8.504,00
000023 - VELUDO BOUCLE NICE - COR: 61 - PALHA;Pronta entrega;9.976,30;231,50;9.744,80
000024 - VELUDO BRONZE - COR: 2 - CAPPUCINO;Pronta entrega;46,70;0,00;46,70
000024 - VELUDO BRONZE - COR: 8 - GREY;Pronta entrega;996,10;0,00;996,10
000027 - COLORADO - COR: 59 - CHUMBO;Pronta entrega;461,70;0,00;461,70
000028 - BELGA - COR: 15 - ICE;Pronta entrega;11.622,50;620,00;11.002,50
000028 - BELGA - COR: 15 - ICE;23/03/2026;3.800,00;0,00;3.800,00
000028 - BELGA - COR: 28- TABACO;Pronta entrega;1.119,30;220,00;899,30
000028 - BELGA - COR: 28- TABACO;23/03/2026;2.000,00;0,00;2.000,00
000028 - BELGA - COR: 32 - GRAFITE;Pronta entrega;63.840,20;870,00;62.970,20
000028 - BELGA - COR: 32 - GRAFITE;23/03/2026;25.000,00;0,00;25.000,00
000028 - BELGA - COR: 34 - MARINHO;Pronta entrega;10.449,10;120,00;10.329,10
000028 - BELGA - COR: 40 - CASTOR;Pronta entrega;7.518,10;120,00;7.398,10
000028 - BELGA - COR: 40 - CASTOR;23/03/2026;2.300,00;0,00;2.300,00
000028 - BELGA - COR: 56 - NATURAL;Pronta entrega;63.164,60;528,90;62.635,70
000028 - BELGA - COR: 56 - NATURAL;23/03/2026;30.000,00;0,00;30.000,00
000028 - BELGA - COR: 59 - CHUMBO;Pronta entrega;6.337,50;920,00;5.417,50
000028 - BELGA - COR: 59 - CHUMBO;23/03/2026;6.000,00;0,00;6.000,00
000028 - BELGA - COR: 63 - BEGE;Pronta entrega;13.325,30;570,00;12.755,30
000028 - BELGA - COR: 66 - CRU;Pronta entrega;8.481,70;320,00;8.161,70
000028 - BELGA - COR: 66 - CRU;23/03/2026;1.900,00;0,00;1.900,00
000029 - MICRO SIDE - COR: 13 - CHOCOLATE;Pronta entrega;39.843,00;0,00;39.843,00
000029 - MICRO SIDE - COR: 13 - CHOCOLATE;12/02/2026;17.800,00;0,00;17.800,00
000029 - MICRO SIDE - COR: 14 - DARK GREY;Pronta entrega;7.812,00;800,00;7.012,00
000029 - MICRO SIDE - COR: 14 - DARK GREY;12/02/2026;27.696,00;0,00;27.696,00
000029 - MICRO SIDE - COR: 15 - ICE;Pronta entrega;19.418,00;0,00;19.418,00
000029 - MICRO SIDE - COR: 15 - ICE;12/02/2026;24.200,00;0,00;24.200,00
000029 - MICRO SIDE - COR: 17 - MARSALA;Pronta entrega;6.013,00;0,00;6.013,00
000029 - MICRO SIDE - COR: 34 - MARINHO;Pronta entrega;62,00;0,00;62,00
000029 - MICRO SIDE - COR: 34 - MARINHO;12/02/2026;11.800,00;0,00;11.800,00
000029 - MICRO SIDE - COR: 40 - CASTOR;Pronta entrega;1.600,00;0,00;1.600,00
000029 - MICRO SIDE - COR: 5 - BLACK;Pronta entrega;24.100,00;0,00;24.100,00
000029 - MICRO SIDE - COR: 5 - BLACK;12/02/2026;49.400,00;0,00;49.400,00
